word,count
цена,70
хороший,58
лекарство,49
заказ,44
всегда,36
вежливый,28
персонал,27
наличие,25
быстро,25
очередь,23
удобно,21
интернет,21
фармацевт,20
ассортимент,20
заказать,18
обслуживание,17
большой,17
заказывать,16
выбор,16
препарат,16
помочь,16
дешёвый,15
приятный,13
работать,13
спасибо,13
удобный,12
бывать,11
город,11
сеть,11
ниже,11
нравиться,10
сайт,10
рекомендовать,10
приложение,10
быстрый,10
доброжелательный,10
товар,10
найти,10
еаптека,10
забирать,9
акция,9
купить,9
девушка,9
отличный,9
ещё,9
аналог,8
нужный,8
весь,8
приветливый,7
рядом,7
минус,7
провизор,7
посоветовать,7
получить,7
срок,7
забрать,6
подсказать,6
часто,6
чисто,6
доступный,6
внимательный,6
который,6
вопрос,6
место,6
довольный,6
обслуживать,6
хорошо,6
бонус,5
поэтому,5
больший,5
приемлемый,5
продавец,5
работа,5
онлайн,5
супер,5
дом,5
сбер,5
ценник,5
пользоваться,5
рассказать,5
адекватный,5
доставка,5
скидка,4
минута,4
правило,4
постоянно,4
дорогой,4
общение,4
замечательный,4
магазин,4
просто,4
человек,4
некоторый,4
нормальный,4
низкий,4
нужно,4
средний,4
знать,4
вокзал,4
покупка,4
специалист,4
каждый,4
покупать,4
делать,4
готовый,4
касса,4
пока,4
легко,4
расположение,4
сервис,4
искать,4
день,4
прийти,4
обслужить,4
оформление,3
самый,3
необходимый,3
довольно,3
порекомендовать,3
витамин,3
посмотреть,3
приехать,3
чистый,3
подобрать,3
сделать,3
возможность,3
широкий,3
оптимальный,3
предварительный,3
медикамент,3
открыться,3
квалифицировать,3
ходить,3
помощь,3
уютный,3
неплохой,3
особенно,3
радовать,3
недорогой,3
норма,3
хотеть,3
алла,3
александрович,3
вит,3
балтийский,3
номер,3
небольшой,3
сказать,3
взять,3
находиться,3
метро,3
показать,3
народ,3
полезный,3
понравиться,3
сравнение,3
ваш,3
воспользоваться,3
грамотный,3
сотрудник,3
собрать,3
решить,3
дать,3
следующий,3
отлично,3
упаковать,3
зайти,3
окошко,3
отзыв,3
привезти,3
годность,3
порядок,3
час,3
давно,3
остальной,2
список,2
наслать,2
лишний,2
пачка,2
рецептурный,2
соответствовать,2
знание,2
декабрь,2
екатерина,2
просторный,2
единственный,2
ранний,2
сутки,2
приятно,2
красивый,2
никогда,2
например,2
прекрасный,2
отзывчивый,2
коллектив,2
система,2
ноябрь,2
отношение,2
малый,2
действительно,2
спб,2
почему,2
обычный,2
приличный,2
благодарность,2
адрес,2
далее,2
сегодня,2
обращаться,2
ответ,2
выходить,2
женщина,2
заходить,2
пара,2
сразу,2
внутри,2
милый,2
классный,2
предложить,2
карта,2
практически,2
июнь,2
немного,2
сюда,2
долго,2
собираться,2
район,2
редко,2
несколько,2
хотеться,2
подходить,2
покупатель,2
рецепт,2
сожаление,2
именно,2
оказаться,2
прийтись,2
таблетка,2
близкий,2
выбрать,2
неделя,2
приходиться,2
общий,2
огромный,2
бронирование,2
смотреть,2
сравнивать,2
помогать,2
случай,2
намного,2
недорого,2
круглосуточно,2
вполне,2
жить,2
зал,2
душа,2
аптекарь,2
надеяться,2
качественный,2
никакой,2
проблема,2
кешбек,2
время,2
совет,2
проконсультировать,2
отдать,2
целое,2
центр,2
аккуратно,2
озерко,2
инет,2
стоить,2
второй,2
самовывоз,2
полностью,2
прогуляться,2
смс,2
марат,2
повезти,2
территориально,2
парковка,2
советовать,2
пункт,2
выдача,2
ждать,2
идти,2
доп,1
посещение,1
главное,1
окно,1
отдавать,1
вода,1
импортный,1
гораздо,1
сезон,1
простуда,1
продавать,1
людмила,1
остапенко,1
август,1
помещение,1
жара,1
кондиционер,1
подробно,1
консультировать,1
перерыв,1
видный,1
видно,1
сравнить,1
увы,1
отдельный,1
вернуть,1
функция,1
зачастую,1
резерв,1
профессионал,1
грамотно,1
недалеко,1
редкий,1
показывать,1
попасть,1
удивить,1
респект,1
здание,1
мало,1
ряд,1
эфокс,1
брилинт,1
приоритет,1
расчетаться,1
благодарный,1
спаибо,1
подтверждать,1
принцип,1
высоковатый,1
красиво,1
блистать,1
конечно,1
лояльный,1
нармальный,1
электронный,1
январь,1
рад,1
лекарственный,1
разумный,1
дистанционно,1
выкуп,1
совпадать,1
наталья,1
кулинич,1
клиент,1
недовно,1
проспект,1
услуга,1
далёкий,1
идеал,1
любить,1
москва,1
лечить,1
бабка,1
стричь,1
выразить,1
спировой,1
наб,1
обводный,1
канал,1
совершить,1
спиров,1
оформить,1
недоставать,1
наука,1
первый,1
получать,1
внимание,1
чуткий,1
согреть,1
тепло,1
мечта,1
возникнуть,1
ответить,1
понимание,1
отзывчивость,1
посещать,1
светло,1
двигаться,1
выдавать,1
улыбчивый,1
страна,1
изготовление,1
принимать,1
точный,1
доза,1
уточнить,1
врач,1
прочитать,1
около,1
добраться,1
наземный,1
транспорт,1
дойти,1
пешком,1
заменить,1
лояльность,1
семья,1
туда,1
брать,1
платить,1
любитель,1
любезный,1
работник,1
рекомегдуть,1
надежда,1
график,1
процветание,1
стараться,1
важный,1
подождать,1
рекомендация,1
любимый,1
оказать,1
получение,1
правда,1
улучшение,1
бонусный,1
накопление,1
многий,1
ничего,1
примечательный,1
странный,1
внятный,1
вроде,1
лежать,1
глаз,1
ужный,1
популярный,1
упрощать,1
жизнь,1
право,1
решать,1
сэкономить,1
действовать,1
вещество,1
строго,1
продать,1
отдел,1
ортопедический,1
заинтересованный,1
консультант,1
таки,1
опытный,1
начинать,1
рано,1
порой,1
вероятность,1
наколенник,1
мама,1
учёт,1
ехать,1
центральный,1
уточнять,1
горячий,1
линия,1
наиболее,1
выгодно,1
качествено,1
кусаться,1
кэшбэк,1
название,1
гриб,1
дождь,1
ноо,1
потихоньку,1
подниматься,1
причём,1
повышение,1
стать,1
замечать,1
заметить,1
стрепсис,1
предлогать,1
перпимый,1
также,1
дорожать,1
поменять,1
уверенно,1
препорат,1
уверенный,1
пятёрочка,1
предлагать,1
конкретный,1
разный,1
требовать,1
иной,1
продавщица,1
замск,1
вести,1
медленно,1
удрбный,1
приходить,1
друг,1
болеть,1
здоровый,1
желать,1
дёшево,1
вкусно,1
недостаток,1
аппарат,1
измерение,1
давление,1
посетитель,1
требоваться,1
различный,1
давать,1
скидочный,1
накопительный,1
многие,1
позиция,1
заметно,1
елена,1
ркадин,1
март,1
особо,1
ничто,1
выделяться,1
окционий,1
дорога,1
крайне,1
абсолютно,1
добрый,1
менеджмент,1
отслеживать,1
аспект,1
всячески,1
поощрять,1
быстрота,1
скорость,1
единожды,1
сложность,1
оплата,1
решиться,1
дальнейший,1
автомобилист,1
далековато,1
мсс,1
начислять,1
непосредственно,1
убрать,1
уменьшить,1
свой,1
повышенный,1
частый,1
банк,1
поймать,1
компетентный,1
лекаоство,1
просторно,1
участливый,1
дама,1
впечатление,1
зак,1
шаговый,1
доступность,1
московский,1
знаменитый,1
спросить,1
чувство,1
заботиться,1
ребята,1
заболеть,1
короновирус,1
арбидол,1
пойти,1
поправка,1
смочь,1
доползти,1
курьер,1
приезд,1
отзвониться,1
счастливый,1
относительно,1
невысокий,1
сравнимый,1
нередко,1
обычно,1
фармоцевт,1
альтернативый,1
свойство,1
дешёвля,1
прописать,1
демократичный,1
явно,1
менять,1
руководство,1
претензия,1
открыто,1
никто,1
стекло,1
непонятно,1
заниматься,1
нибыть,1
подойти,1
ноль,1
реакция,1
заранее,1
вечером,1
уйти,1
основное,1
локация,1
отработка,1
ольга,1
понимать,1
откуда,1
столько,1
плохой,1
весна,1
устраивать,1
подводить,1
ощутимый,1
разница,1
указать,1
порадовать,1
достойный,1
конкурентный,1
наоборот,1
выбраться,1
спальный,1
льтурна,1
столица,1
капсулированный,1
рыбий,1
жир,1
привлекательный,1
маленький,1
поступать,1
вуаля,1
почитать,1
негативный,1
готовиться,1
ужас,1
описать,1
исключение,1
отработать,1
прислать,1
назначить,1
целый,1
питер,1
обзвонить,1
мск,1
стоимость,1
чувствительно,1
розничный,1
продажа,1
оба,1
формирование,1
выгодный,1
оформлять,1
всякий,1
выполнение,1
терминал,1
дозаказать,1
регулярно,1
деньга,1
сориентироваться,1
альтернатива,1
выражать,1
здоровье,1
слишком,1
активно,1
впаривать,1
назвать,1
точнее,1
занятый,1
бюджетный,1
сегмент,1
увидеть,1
быстренько,1
открыть,1
думать,1
расположить,1
учесть,1
наименование,1
полный,1
описание,1
инструкция,1
плюс,1
современный,1
перечень,1
долгий,1
скорее,1
зависеть,1
путь,1
уважительно,1
забыть,1
фамилия,1
спокойно,1
понадобиться,1
ветеринарный,1
ветаптека,1
плохо,1
ветпрепарат,1
расширять,1
молодец,1
дружный,1
отправить,1
заявка,1
татьяна,1
общительный,1
замена,1
отследить,1
постоять,1
остаться,1
конкурент,1
удобство,1
компьютер,1
доступ,1
розница,1
закащать,1
списание,1
балл,1
восновный,1
косметика,1
определённый,1
пожалеть,1
подтвердить,1
поставка,1
редкость,1
профессиональный,1
чистенько,1
странно,1
мазь,1
сборка,1
упаковка,1
консультация,1
оригинальный,1
соответсвие,1
высокий,1
класс,1
привозить,1
задержка,1
критичный,1
удачный,1
преимущество,1
провал,1
вообще,1
высота,1
качественно,1
везде,1
великий,1
апрель,1
срочно,1
стоять,1
улица,1
холодный,1
погода,1
количество,1
сколько,1
кататься,1
упоковка,1
поступление,1
срочный,1
дело,1
пешочком,1
